Name,Aff1,Aff2,Aff3
T. M. Evans,6,,
R. Everett,72,,
M. Factourovich,39,,
V. Fafone,12,13,25,
H. Fair,35,,
S. Fairhurst,92,,
X. Fan,70,,
Q. Fang,51,,
S. Farinon,47,,
B. Farr,75,,
W. M. Farr,45,,
M. Favata,89,,
M. Fays,92,,
H. Fehrmann,8,,
M. M. Fejer,40,,
I. Ferrante,18,19,
E. C. Ferreira,11,,
F. Ferrini,34,,
F. Fidecaro,18,19,
I. Fiori,34,,
D. Fiorucci,30,,
R. P. Fisher,35,,
R. Flaminio,65,93,
M. Fletcher,36,,
J.-D. Fournier,53,,
S. Franco,23,,
S. Frasca,28,79,
F. Frasconi,19,,
Z. Frei,54,,
A. Freise,45,,
R. Frey,59,,
V. Frey,23,,
T. T. Fricke,8,,
P. Fritschel,10,,
V. V. Frolov,6,,
P. Fulda,5,,
M. Fyffe,6,,
H. A. G. Gabbard,21,,
J. R. Gair,94,,
L. Gammaitoni,32,33,
S. G. Gaonkar,14,,
F. Garufi,4,67,
A. Gatto,30,,
G. Gaur,95,96,
N. Gehrels,68,,
G. Gemme,47,,
B. Gendre,53,,
E. Genin,34,,
A. Gennai,19,,
J. George,48,,
L. Gergely,97,,
V. Germain,7,,
Archisman Ghosh,15,,
S. Ghosh,9,52,
J. A. Giaime,2,6,
K. D. Giardina,6,,
A. Giazotto,19,,
K. Gill,98,,
A. Glaefke,36,,
E. Goetz,71,,
R. Goetz,5,,
L. Gondan,54,,
G. González,2,,
J. M. Gonzalez Castro,18,19,
A. Gopakumar,99,,
N. A. Gordon,36,,
M. L. Gorodetsky,49,,
S. E. Gossan,1,,
M. Gosselin,34,,
R. Gouaty,7,,
C. Graef,36,,
P. B. Graff,62,,
M. Granata,65,,
A. Grant,36,,
S. Gras,10,,
C. Gray,37,,
G. Greco,57,58,
A. C. Green,45,,
P. Groot,52,,
H. Grote,8,,
S. Grunewald,29,,
G. M. Guidi,57,58,
X. Guo,70,,
A. Gupta,14,,
M. K. Gupta,96,,
K. E. Gushwa,1,,
E. K. Gustafson,1,,
R. Gustafson,71,,
J. J. Hacker,22,,
B. R. Hall,56,,
E. D. Hall,1,,
G. Hammond,36,,
M. Haney,99,,
M. M. Hanke,8,,
J. Hanks,37,,
C. Hanna,72,,
M. D. Hannam,92,,
J. Hanson,6,,
T. Hardwick,2,,
J. Harms,57,58,
G. M. Harry,100,,
I. W. Harry,29,,
M. J. Hart,36,,
M. T. Hartman,5,,
C.-J. Haster,45,,
K. Haughian,36,,
A. Heidmann,60,,
M. C. Heintze,5,6,
H. Heitmann,53,,
P. Hello,23,,
G. Hemming,34,,
M. Hendry,36,,
I. S. Heng,36,,
J. Hennig,36,,
A. W. Heptonstall,1,,
M. Heurs,8,17,
S. Hild,36,,
D. Hoak,101,,
K. A. Hodge,1,,
D. Hofman,65,,
S. E. Hollitt,102,,
K. Holt,6,,
D. E. Holz,75,,
P. Hopkins,92,,
D. J. Hosken,102,,
J. Hough,36,,
E. A. Houston,36,,
E. J. Howell,51,,
Y. M. Hu,36,,
S. Huang,73,,
E. A. Huerta,83,103,
D. Huet,23,,
B. Hughey,98,,
S. Husa,66,,
S. H. Huttner,36,,
T. Huynh-Dinh,6,,
A. Idrisy,72,,
N. Indik,8,,
D. R. Ingram,37,,
R. Inta,82,,
H. N. Isa,36,,
J.-M. Isac,60,,
M. Isi,1,,
G. Islas,22,,
T. Isogai,10,,
B. R. Iyer,15,,
K. Izumi,37,,
T. Jacqmin,60,,
H. Jang,77,,
K. Jani,63,,
P. Jaranowski,104,,
S. Jawahar,105,,
F. Jiménez-Forteza,66,,
W. W. Johnson,2,,
D. I. Jones,26,,
R. Jones,36,,
R. J. G. Jonker,9,,
L. Ju,51,,
Haris K,106,,
C. V. Kalaghatgi,24,92,
V. Kalogera,83,,
S. Kandhasamy,21,,
G. Kang,77,,
J. B. Kanner,1,,
S. Karki,59,,
M. Kasprzack,2,23,34,
E. Katsavounidis,10,,
W. Katzman,6,,
S. Kaufer,17,,
T. Kaur,51,,
K. Kawabe,37,,
F. Kawazoe,8,,
F. Kéfélian,53,,
M. S. Kehl,69,,
D. Keitel,8,66,
D. B. Kelley,35,,
W. Kells,1,,
R. Kennedy,87,,
J. S. Key,86,,
A. Khalaidovski,8,,
F. Y. Khalili,49,,
I. Khan,12,,
S. Khan,92,,
Z. Khan,96,,
E. A. Khazanov,107,,
N. Kijbunchoo,37,,
C. Kim,77,,
J. Kim,108,,
K. Kim,109,,
Nam-Gyu Kim,77,,
Namjun Kim,40,,
Y.-M. Kim,108,,
E. J. King,102,,
P. J. King,37,,
D. L. Kinzel,6,,
J. S. Kissel,37,,
L. Kleybolte,27,,
S. Klimenko,5,,
S. M. Koehlenbeck,8,,
K. Kokeyama,2,,
S. Koley,9,,
V. Kondrashov,1,,
A. Kontos,10,,
M. Korobko,27,,
W. Z. Korth,1,,
I. Kowalska,44,,
D. B. Kozak,1,,
V. Kringel,8,,
B. Krishnan,8,,
A. Królak,110,111,
C. Krueger,17,,
G. Kuehn,8,,
P. Kumar,69,,
L. Kuo,73,,
A. Kutynia,110,,
B. D. Lackey,35,,
M. Landry,37,,
J. Lange,112,,
B. Lantz,40,,
P. D. Lasky,113,,
A. Lazzarini,1,,
C. Lazzaro,42,63,
P. Leaci,28,29,79,
S. Leavey,36,,
E. O. Lebigot,30,70,
C. H. Lee,108,,
H. K. Lee,109,,
H. M. Lee,114,,
K. Lee,36,,
A. Lenon,35,,
M. Leonardi,90,91,
J. R. Leong,8,,
N. Leroy,23,,
N. Letendre,7,,
Y. Levin,113,,
B. M. Levine,37,,
T. G. F. Li,1,,
A. Libson,10,,
T. B. Littenberg,115,,
N. A. Lockerbie,105,,
J. Logue,36,,
A. L. Lombardi,101,,
J. E. Lord,35,,
M. Lorenzini,12,13,
V. Loriette,116,,
M. Lormand,6,,
G. Losurdo,58,,
J. D. Lough,8,17,
H. Lück,8,17,
A. P. Lundgren,8,,
J. Luo,78,,
R. Lynch,10,,
Y. Ma,51,,
T. MacDonald,40,,
B. Machenschalk,8,,
M. MacInnis,10,,
D. M. Macleod,2,,
F. Magaña-Sandoval,35,,
R. M. Magee,56,,
M. Mageswaran,1,,
E. Majorana,28,,
I. Maksimovic,116,,
V. Malvezzi,13,25,
N. Man,53,,
I. Mandel,45,,
V. Mandic,84,,
V. Mangano,36,,
G. L. Mansell,20,,
M. Manske,16,,
M. Mantovani,34,,
F. Marchesoni,33,117,
F. Marion,7,,
S. Márka,39,,
Z. Márka,39,,
A. S. Markosyan,40,,
E. Maros,1,,
F. Martelli,57,58,
L. Martellini,53,,
I. W. Martin,36,,
R. M. Martin,5,,
D. V. Martynov,1,,
J. N. Marx,1,,
K. Mason,10,,
A. Masserot,7,,
T. J. Massinger,35,,
M. Masso-Reid,36,,
F. Matichard,10,,
L. Matone,39,,
N. Mavalvala,10,,
N. Mazumder,56,,
G. Mazzolo,8,,
R. McCarthy,37,,
D. E. McClelland,20,,
S. McCormick,6,,
S. C. McGuire,118,,
G. McIntyre,1,,
J. McIver,101,,
D. J. McManus,20,,
S. T. McWilliams,103,,
